id,correct,red_flag_correct_count,differential_correct_count,red_flag_correct_any_count,red_flag_correct_bot_count,red_flag_correct_user_count,differential_correct_any_count,differential_correct_bot_count,differential_correct_user_count,red_flag_correct,differential_correct,red_flag_correct_any,red_flag_correct_bot,red_flag_correct_user,differential_correct_any,differential_correct_bot,differential_correct_user
466081,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466175,True,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
466136,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466135,True,1,1,0,,0,0,,0,True,True,False,False,False,False,False,False
466127,False,0,1,0,,0,0,,0,False,True,False,False,False,False,False,False
466122,True,0,0,2,,2,2,,2,False,False,True,False,True,True,False,True
466116,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466111,False,0,0,1,,1,1,,1,False,False,True,False,True,True,False,True
466062,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466048,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466047,True,0,0,2,,2,2,,2,False,False,True,False,True,True,False,True
466029,False,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
466024,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466016,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466006,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466004,False,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
465994,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465935,False,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
466190,True,2,2,1,,1,1,,1,True,True,True,False,True,True,False,True
465929,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466214,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
467779,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466099,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466129,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466133,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466148,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466166,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466177,True,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
466181,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466224,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
467729,False,0,1,0,,0,1,,1,False,True,False,False,False,True,False,True
467720,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
467771,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
467805,False,2,2,0,,0,1,,1,True,True,False,False,False,True,False,True
467715,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
467717,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
467721,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
467723,False,2,4,2,,2,5,,5,True,True,True,False,True,True,False,True
467747,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
467039,False,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
465917,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465910,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465909,True,1,1,0,,0,0,,0,True,True,False,False,False,False,False,False
465661,False,1,1,0,,0,0,,0,True,True,False,False,False,False,False,False
465656,False,1,1,0,,0,0,,0,True,True,False,False,False,False,False,False
465646,False,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
465641,False,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
465639,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465637,False,0,0,1,,1,1,,1,False,False,True,False,True,True,False,True
465635,False,2,2,2,,2,2,,2,True,True,True,False,True,True,False,True
465609,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465607,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465603,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465597,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
467037,True,0,1,1,,1,2,,2,False,True,True,False,True,True,False,True
466901,True,0,1,0,,0,1,,1,False,True,False,False,False,True,False,True
465601,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465604,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465610,True,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
465614,True,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
465670,False,0,1,0,,0,0,,0,False,True,False,False,False,False,False,False
465681,False,1,1,0,,0,0,,0,True,True,False,False,False,False,False,False
465682,False,2,2,0,,0,0,,0,True,True,False,False,False,False,False,False
465698,False,2,2,1,,1,1,,1,True,True,True,False,True,True,False,True
465897,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465892,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465888,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465881,True,1,1,1,,1,2,,2,True,True,True,False,True,True,False,True
465874,True,1,1,0,,0,0,,0,True,True,False,False,False,False,False,False
465867,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465825,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465797,True,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
467088,True,1,1,0,,0,0,,0,True,True,False,False,False,False,False,False
465787,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465783,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465773,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465771,False,1,1,0,,0,0,,0,True,True,False,False,False,False,False,False
465756,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465751,False,1,1,0,,0,0,,0,True,True,False,False,False,False,False,False
465738,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465734,True,0,1,0,,0,0,,0,False,True,False,False,False,False,False,False
465720,False,1,2,1,,1,1,,1,True,True,True,False,True,True,False,True
465786,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465620,True,1,1,0,,0,0,,0,True,True,False,False,False,False,False,False
467086,True,1,1,0,,0,0,,0,True,True,False,False,False,False,False,False
467048,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466158,False,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
466169,False,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
466170,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466174,True,2,2,2,,2,2,,2,True,True,True,False,True,True,False,True
466183,False,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
466202,True,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
465788,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465785,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465757,True,1,1,0,,0,0,,0,True,True,False,False,False,False,False,False
465755,False,0,1,0,,0,0,,0,False,True,False,False,False,False,False,False
465743,False,1,2,0,,0,0,,0,True,True,False,False,False,False,False,False
465741,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465716,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465701,False,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
465689,False,0,1,0,,0,0,,0,False,True,False,False,False,False,False,False
465680,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465638,False,0,1,0,,0,0,,0,False,True,False,False,False,False,False,False
466146,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465626,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466140,False,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
466137,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466002,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466008,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466022,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466031,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466032,False,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
466050,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466053,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466060,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466065,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466067,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466077,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466082,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466091,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466103,False,1,1,0,,0,0,,0,True,True,False,False,False,False,False,False
466114,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466128,False,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
466130,False,0,0,1,,1,1,,1,False,False,True,False,True,True,False,True
466138,False,0,0,2,,2,2,,2,False,False,True,False,True,True,False,True
465612,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465605,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465600,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465956,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465617,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465972,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465974,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465990,True,0,1,0,,0,0,,0,False,True,False,False,False,False,False,False
465992,True,1,1,0,,0,0,,0,True,True,False,False,False,False,False,False
465996,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466014,True,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
466041,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466066,True,0,0,1,,1,1,,1,False,False,True,False,True,True,False,True
466075,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466076,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466086,True,0,0,2,,2,2,,2,False,False,True,False,True,True,False,True
466088,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466092,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466914,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466095,True,0,0,1,,1,1,,1,False,False,True,False,True,True,False,True
465955,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465925,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465920,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465896,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465697,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465714,False,1,2,1,,1,2,,2,True,True,True,False,True,True,False,True
465726,False,2,2,0,,0,0,,0,True,True,False,False,False,False,False,False
465732,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465769,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465770,False,2,2,0,,0,0,,0,True,True,False,False,False,False,False,False
465774,True,0,0,1,,1,1,,1,False,False,True,False,True,True,False,True
465780,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
467049,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465789,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465810,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465833,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465841,True,1,2,0,,0,0,,0,True,True,False,False,False,False,False,False
465857,True,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465869,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465872,True,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
465889,False,2,3,0,,0,0,,0,True,True,False,False,False,False,False,False
465891,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
465808,True,1,1,0,,0,0,,0,True,True,False,False,False,False,False,False
465628,True,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
465631,True,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
465633,True,1,1,1,,1,1,,1,True,True,True,False,True,True,False,True
467047,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
467046,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
467041,False,1,1,0,,0,0,,0,True,True,False,False,False,False,False,False
467038,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466905,False,2,3,2,,2,2,,2,True,True,True,False,True,True,False,True
465608,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466219,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466213,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466209,False,0,0,0,,0,0,,0,False,False,False,False,False,False,False,False
466203,True,1,1,0,,0,0,,0,True,True,False,False,False,False,False,False
466197,False,0,0,3,,3,4,,4,False,False,True,False,True,True,False,True
