scenario_id,urgency,red_flags,full_differential,condition,conditions_short,conditions_order,urgency_text,medqa_queries
489599,3,"['subarachnoid haemorrhage', 'cerebro-vascular event', 'meningitis', 'encephalitis', 'cavernous sinus thrombosis', 'berry aneurysm rupture']","['subarachnoid haemorrhage', 'cerebro-vascular event', 'meningitis', 'encephalitis', 'cavernous sinus thrombosis', 'berry aneurysm rupture', 'migraine', 'cluster headache', 'hangover', 'influenza', 'intercranial bleeding', 'stroke', 'TIA', 'brain abscess', 'acute otitis media', 'acute glaucoma', 'acute sinusitis', 'drugged', 'spiked']",Subarachnoid Haemorrhage,SH,1.0,A&E (I need emergency hospital treatment),"['meningitis', 'encephalitis', 'migraine', 'acute otitis media']"
489600,4,"['pulmonary embolism', 'deep vein thrombosis', 'cardiac compromise', 'cellulitis', 'sepsis', 'pneumonia', 'preeclampsia', 'acute myocardial infarction', 'pneumothorax']","['pulmonary embolism', 'deep vein thrombosis', 'cardiac compromise', 'cellulitis', 'sepsis', 'pneumonia', 'preeclampsia', 'acute myocardial infarction', 'pneumothorax', 'pulmonary oedema', 'vasculitis', 'thrombophlebitis', 'urinary tract infection', 'UTI', 'pyelonephritis', 'mechanical bruising', 'panic attack', 'multiple sclerosis chest pain', 'lung malignancy', 'rib injury', 'carcinoma', 'intercostal muscle injury']",Pulmonary Embolism,PE,0.5,Ambulance (I am in immediate life-threatening danger; I need treatment administered en-route to the hospital),"['pulmonary embolism', 'deep vein thrombosis', 'cellulitis', 'sepsis', 'pneumothorax', 'thrombophlebitis', 'vasculitis', 'lung malignancy', 'rib injury', 'panic attack']"
489601,1,"['brain tumor', 'tinnitus', 'sensorineural deafness', 'occupational deafness', 'pharmacological damage', 'cerebral aneurysm', 'multiple sclerosis', 'acoustic neuroma', 'carotid artery stenosis', 'heart valve condition']","['brain tumor', 'tinnitus', 'sensorineural deafness', 'occupational deafness', 'pharmacological damage', 'cerebral aneurysm', 'multiple sclerosis', 'acoustic neuroma', 'carotid artery stenosis', 'heart valve condition', 'anuerism', 'hypertension', 'otitis externa', 'anxiety', 'otitis media', 'eustachian tube dysfunction', 'depression', 'Ménières disease', 'aspirin overdose', 'cholesteatoma', 'noise damage', 'impacted wax']",Tinnitus,TI,3.5,"Routine GP (I should be seen at some point, but it can wait)","['tinnitus', 'otitis media', 'brain tumor', 'multiple sclerosis']"
489602,2,"['ulcerative colitis', 'inflammatory bowel disease', 'gastrointestinal cancer', 'colorectal carcinoma', 'ovarian carcinoma', 'cervical carcinoma', 'chrons disease', 'coeliac', 'bowel cancer']","['ulcerative colitis', 'inflammatory bowel disease', 'gastrointestinal cancer', 'colorectal carcinoma', 'ovarian carcinoma', 'cervical carcinoma', 'chrons disease', 'coeliac', 'bowel cancer', 'diverticulitis', 'infection', 'ectopic pregnancy', 'haemorrhoids', 'inflammatory arthiritis', 'constipation', 'nsaid use', 'pyelonephritis', 'urinary tract infection', 'UTI', 'campylobacter', 'Behcets syndrome', 'infectious gastroenteritis', 'ameobic dysentery', 'meckels diverticulum', 'dysentary']",Ulcerative Colitis,UC,2.0,"Urgent Primary Care (I should be seen today, by a GP, urgent care centre, or similar)","['ulcerative colitis', 'inflammatory bowel disease', 'diverticulitis', 'ectopic pregnancy', 'haemorrhoids', 'campylobacter', 'meckels diverticulum', 'gastrointestinal cancer', 'coeliac']"
489603,3,"['renal colic', 'kidney stone', 'ureteric obstruction', 'acute testicular torsion', 'epidydimoorchitis', 'gonococcal infection', 'strangulated initial hernia', 'appendicitis', 'pyelonephritis', 'ascending cholangitis', 'perforated bowel']","['renal colic', 'kidney stone', 'ureteric obstruction', 'acute testicular torsion', 'epidydimoorchitis', 'gonococcal infection', 'strangulated initial hernia', 'appendicitis', 'pyelonephritis', 'ascending cholangitis', 'perforated bowel', 'urinary tract infection', 'UTI', 'parasite', 'renal tract cancer', 'biliary colic', 'chrons disease', 'ulcerative colitis', 'constipation', 'gastroenteritis']",Renal Colic,RC,1.5,A&E (I need emergency hospital treatment),"['renal colic', 'kidney stone', 'appendicitis', 'parasite', 'gonococcal infection']"
489604,1,"['gallstones', 'cholecystitis', 'biliary colic', 'pyelonephritis', 'hepatitis', 'aortic aneurysm', 'pancreatitis', 'duodenal ulcer']","['gallstones', 'cholecystitis', 'biliary colic', 'pyelonephritis', 'hepatitis', 'aortic aneurysm', 'pancreatitis', 'duodenal ulcer', 'bile duct blockage', 'cholangitis', 'gastritis', 'gastrointestinal cancer', 'diabetes', 'bulimia', 'gastric ulcer', 'pulmonary embolism', 'herpes zoster', 'peptic ulcer', 'kidney stone', 'renal colic']",Gallstones,GA,3.0,"Routine GP (I should be seen at some point, but it can wait)","['gallstones', 'cholecystitis', 'aortic aneurysm', 'pancreatitis', 'duodenal ulcer', 'gastritis', 'bulimia', 'pulmonary embolism', 'herpes zoster', 'peptic ulcer']"
489605,4,"['respiratory malignancy', 'pulmonary embolus', 'pneumothorax', 'COPD', 'acute myocardial infarction', 'pneumonia', 'congestive cardiac failure', 'asthma', 'cardiac arythmia']","['respiratory malignancy', 'pulmonary embolus', 'pneumothorax', 'COPD', 'acute myocardial infarction', 'pneumonia', 'congestive cardiac failure', 'asthma', 'cardiac arythmia', 'lower respiratory tract infection', 'bronchiectasis', 'anaemia', 'anxiety', 'blood dyscrasia', 'acute bronchitis', 'covid', 'myocarditis']",Pneumonia,PN,0.0,Ambulance (I am in immediate life-threatening danger; I need treatment administered en-route to the hospital),"['pulmonary embolus', 'pneumothorax', 'COPD', 'pneumonia', 'lower respiratory tract infection', 'bronchiectasis', 'cardiac arrhythmia', 'myocarditis']"
489606,2,"['anaemia', 'pregnancy', 'thyroid dysfunction', 'postnatal depression', 'blood dyscrasias', 'thyroid disease', 'hydatifiform mole', 'pulmonary embolism', 'cardiac arythmia', 'sepsis', 'heart failure']","['anaemia', 'pregnancy', 'thyroid dysfunction', 'blood dyscrasias', 'thyroid disease', 'hydatifiform mole', 'pulmonary embolism', 'cadiac arythmia', 'sepsis', 'heart failure', 'hypothyroid', 'depression', 'anorexia', 'renal failure', 'pneumonia', 'covid', 'addisons disease', 'waterhouse friedrichsons syndrome', 'myalgic encephalomyletis', 'chronic fatigue syndrome', 'mastitis', 'chest infection', 'sleep deprivation']",Anaemia,AN,2.5,"Urgent Primary Care (I should be seen today, by a GP, urgent care centre, or similar)","['anemia', 'sepsis', 'anorexia', 'renal failure', 'addisons disease', 'thyroid dysfunction', 'mastitis']"
489607,0,"['systemic infection', 'covid', 'influenza', 'flu', 'sepsis']","['systemic infection', 'covid', 'influenza', 'sepsis', 'respiratory tract infection', 'sinusitis', 'otitis media', 'eustachian tube dysfunction', 'hay fever', 'cold']",Common Cold,CC,4.0,Self-care (I can handle this at home or with over-the-counter medication),"['influenza', 'sepsis', 'respiratory tract infection', 'sinusitis', 'otitis media', 'hay fever']"
489608,0,"['allergy', 'herpetic ulcer', 'bacterial keratitis', 'lyme disease']","['allergy', 'herpetic ulcer', 'bacterial keratitis', 'lyme disease', 'hay fever', 'Reiters syndrome', 'conjunctivitis', 'anti-oedmea', 'cold', 'nasal polyps']",Allergic Rhinitis,AL,4.5,Self-care (I can handle this at home or with over-the-counter medication),"['allergy', 'lyme disease', 'hay fever', 'Reiters syndrome', 'conjunctivitis', 'nasal polyps']"
